ID,Sku,unit,kod_odrzavanja,skupljanje,oeko_badge,"Regular Price","Parent Product ID"
273,13403,kom,txA+9!,,yes,,0
303,"ČIPKA 13256",met,sxA+!,"po dužini do 2,2% po širini do 1,8%",,,0
319,"ČIPKA 13256 - 01",,,,,31.85,303
322,"ČIPKA 13256 - 04",,,,,31.85,303
323,"ČIPKA 13256 - 05",,,,,31.85,303
324,"ČIPKA 13256 - 06",,,,,31.85,303
325,"ČIPKA 13256 - 07",,,,,31.85,303
327,"ČIPKA 13256 - 09",,,,,31.85,303
328,"ČIPKA 13256 - 10",,,,,31.85,303
329,"ČIPKA 13256 - 11",,,,,31.85,303
330,"ČIPKA 13256 - 12",,,,,31.85,303
332,"ČIPKA 13256 - 14",,,,,31.85,303
394,13478,kom,txA+9!,,yes,,0
407,"13478 - 182",,,,,3.50,394
409,"13478 - 553",,,,,3.50,394
411,"13478 - 92",,,,,3.50,394
412,"13478 - 60",,,,,3.50,394
413,"13478 - 56",,,,,3.50,394
414,"13478 - 57",,,,,3.50,394
415,"13478 - 55",,,,,3.50,394
416,"13478 - 58",,,,,3.50,394
417,"13478 - 1",,,,,3.50,394
533,13479,kom,txA+9!,,yes,,0
546,"13479 - 4003",,,,,4.11,533
550,"13479 - 3949",,,,,4.11,533
552,"13479 - 2626",,,,,4.11,533
555,"13479 - 3380",,,,,4.11,533
556,"13479 - 1895",,,,,4.11,533
745,01191,kom,,,,1.30,0
747,01292,kom,,,,3.00,0
750,01174,set,,,,3.00,0
756,09270,kom,,,,2.90,0
759,13285,kom,,,,2.65,0
923,13004,kom,txA+9!,,yes,,0
946,"13004 - 3366",,,,,3.9,923
952,"13004 - 4343",,,,,3.9,923
953,"13004 - 4342",,,,,3.9,923
955,"13004 - 3015",,,,,3.9,923
957,"13004 - 1893",,,,,3.9,923
958,"13004 - 1892",,,,,3.9,923
959,"13004 - 1602",,,,,3.9,923
960,"13004 - 1895",,,,,3.9,923
961,"13004 - 1899",,,,,3.9,923
962,"13004 - 2630",,,,,3.9,923
963,"13004 - 2527",,,,,3.9,923
964,"13004 - 1900",,,,,3.9,923
966,13003,kom,txA+9!,,yes,,0
999,"13003 - 339",,,,,3.50,966
1000,"13003 - 161",,,,,3.50,966
1001,"13003 - 144",,,,,3.50,966
1003,"13003 - 543",,,,,3.50,966
1006,"13003 - 58",,,,,3.50,966
1010,"13003 - 114",,,,,3.50,966
1011,"13003 - 40",,,,,3.50,966
1013,"13003 - 28",,,,,3.50,966
1014,"13003 - 21",,,,,3.50,966
1015,"13003 - 55",,,,,3.50,966
1016,"13003 - 60",,,,,3.50,966
1017,"13003 - 111",,,,,3.50,966
1018,"13003 - 106",,,,,3.50,966
1020,"13003 - 87",,,,,3.50,966
1021,"13003 - 1",,,,,3.50,966
1260,13071,kom,txA+9!,,yes,,0
1538,"TIL ČIPKA RUČNO VEZENA 13271",met,sxA+!,"po dužini do 2,2% po širini do 1,8%",,225.63,0
1540,"TIL ČIPKA RUČNO VEZENA 13271 - 01",,,,,225.63,1538
1541,13268,,"sx\+$","po dužini do 2% po širini do 1,8%",,,0
1546,"13268 - BLACK",,,,,50.44,1541
1625,"SVILENA TKANINA 09100",,sxA+!,"po dužini do 2,5% po širini do 2%",,99.54,0
1629,"SVILENA TKANINA 09100 - 01",,,,,99.54,1625
1630,"SVILENA TKANINA 09100 - 02",,,,,99.54,1625
2094,14080,kom,txA+9!,,yes,,0
2131,14081,kom,txA+9!,,yes,,0
2155,14082,kom,txA+9!,,yes,,0
2168,"14082 - 3681",,,,,3.90,2155
2170,"14082 - 4537",,,,,3.90,2155
2171,"14082 - 3282",,,,,3.90,2155
2172,"14082 - 3245",,,,,3.90,2155
2173,"14082 - 1900",,,,,3.90,2155
2175,"14082 - 3240",,,,,3.90,2155
2176,"14082 - 1767",,,,,3.90,2155
2177,14111,met,bxA&#039;&quot;,"po dužini do 3,5% po širini do 3%",yes,,0
2694,"GUMB MORNARSKI 20 MM 15171",kom,,,,,0
2704,"GUMB MORNARSKI 15 MM 15172",kom,,,,,0
2824,18040,kom,,,,1.40,0
2842,09230,kom,,,,20.90,0
2845,01177,kom,,,,1.59,0
2853,09266,kom,,,,,0
2866,01172,set,,,,1.40,0
2885,09392,set,,,,2.10,0
2888,09391,set,,,,0.50,0
2894,09489,set,,,,0.70,0
2901,09493,kom,,,,0.70,0
2973,"IGLE ZA VUNU 2 MM 13306",par,,,,1.59,0
3023,13261,met,sxA+!,"po dužini do 2,2% po širini do 1,8%",,59.73,0
3033,14178,par,,,,7.00,0
3035,14179,par,,,,7.00,0
3037,14180,par,,,,7.00,0
3039,14181,par,,,,7.00,0
3041,14182,par,,,,7.50,0
3043,14183,par,,,,7.50,0
3045,14184,par,,,,7.50,0
3047,14185,par,,,,7.50,0
3049,14186,par,,,,8.50,0
3051,14187,par,,,,8.50,0
3053,14188,par,,,,9.50,0
3055,14189,par,,,,10.30,0
3057,14190,par,,,,10.30,0
3059,14191,par,,,,12.80,0
3061,14192,par,,,,8.40,0
3063,14193,par,,,,8.40,0
3065,14194,par,,,,11.30,0
3067,14195,par,,,,11.30,0
3071,14197,par,,,,8.40,0
3073,14198,par,,,,8.40,0
3075,14199,par,,,,8.40,0
3077,14200,par,,,,9.50,0
3079,14201,par,,,,9.50,0
3081,14202,par,,,,10.50,0
3085,14235,kom,,,,3.60,0
3087,14236,kom,,,,4.10,0
3089,14237,kom,,,,4.10,0
3091,14238,kom,,,,4.10,0
3093,14239,kom,,,,4.10,0
3095,14240,kom,,,,4.10,0
3097,14241,kom,,,,4.10,0
3099,14204,par,,,,11.00,0
3101,14205,par,,,,11.00,0
3103,14206,par,,,,12,0
3105,14207,par,,,,12.00,0
3107,14208,par,,,,13.00,0
3109,14209,par,,,,13.00,0
3111,14210,par,,,,13.00,0
3113,14211,par,,,,13.00,0
3115,14212,par,,,,13.00,0
3117,"LIKRA PAILLETTES 14277",met,bxA+!,"po dužini do 3% po širini do 2,5%",,,0
3133,"LICRA PAILETES 14277 - 11",,,,,20.57,3117
3134,"LICRA PAILETES 14277 - 12",,,,,20.57,3117
3136,"LICRA PAILETES 14277 - 10",,,,,20.57,3117
3139,14218,kom,,,,10.20,0
3141,14219,kom,,,,11.20,0
3143,14220,kom,,,,12.30,0
3145,14221,kom,,,,13.70,0
3149,14223,par,,,,11.50,0
3151,14224,par,,,,10.00,0
3153,14225,par,,,,10.00,0
3155,14226,par,,,,11.50,0
3157,14227,par,,,,11.50,0
3159,14228,par,,,,11.50,0
3161,14229,par,,,,10.00,0
3163,14230,par,,,,13.00,0
3165,14231,par,,,,12.00,0
3167,14232,par,,,,12.80,0
3169,14233,par,,,,12.80,0
3171,14234,par,,,,12.80,0
3176,14243,set,,,,29.00,0
3183,14245,set,,,,35.90,0
3186,14246,set,,,,2.00,0
3202,14247,set,,,,3.20,0
3204,14262,set,,,,3.60,0
3210,14266,set,,,,3.60,0
3212,14267,set,,,,3.60,0
3485,09222,met,hxA8&quot;,"po dužini do 3,8% po širini do 3,4% ",yes,,0
3679,"APLIKACIJA ""I LOVE CATS"" 32744 14434",kom,,,,2.12,0
3682,"APLIKACIJA ""I LOVE RABBITS"" 32746 14435",kom,,,,2.12,0
3834,15004,kom,,,,6.40,0
3970,14584,kom,,,,0.95,0
3972,01192,kom,,,,2.90,0
4053,"PRIVJESAK B20891 14392",paketić,,,,0.8,0
